Month	user	user_month
0	HDM_001	HDM_001, 0
3	HDM_001	HDM_001, 3
6	HDM_001	HDM_001, 6
9	HDM_001	HDM_001, 9
0	HDM_002	HDM_002, 0
3	HDM_002	HDM_002, 3
6	HDM_002	HDM_002, 6
9	HDM_002	HDM_002, 9
0	HDM_003	HDM_003, 0
3	HDM_003	HDM_003, 3
6	HDM_003	HDM_003, 6
9	HDM_003	HDM_003, 9
0	HDM_004	HDM_004, 0
3	HDM_004	HDM_004, 3
6	HDM_004	HDM_004, 6
9	HDM_004	HDM_004, 9
0	HDM_005	HDM_005, 0
3	HDM_005	HDM_005, 3
6	HDM_005	HDM_005, 6
9	HDM_005	HDM_005, 9
0	HDM_006	HDM_006, 0
3	HDM_006	HDM_006, 3
6	HDM_006	HDM_006, 6
9	HDM_006	HDM_006, 9
